506,450.00000000000000000000E-03,HIMALIA
507,58.00000000000000000000E-03,ELARA
508,20.00000000000000000000E-03,PASIPHAE
509,5.00000000000000000000E-03,SINOPE
510,4.20000000000000000000E-03,LYSITHEA
511,8.80000000000000000000E-03,CARME
512,2.00000000000000000000E-03,ANANKE
513,730.00000000000000000000E-06,LEDA
514,100.00000000000000000000E-03,THEBE
515,500.00000000000000000000E-06,ADRASTEA
516,8.00000000000000000000E-03,METIS
517,58.00000000000000000000E-06,CALLIRRHOE
518,46.00000000000000000000E-06,THEMISTO
519,14.00000000000000000000E-06,MAGACLITE
520,11.00000000000000000000E-06,TAYGETE
521,5.00000000000000000000E-06,CHALDENE
522,8.00000000000000000000E-06,HARPALYKE
523,13.00000000000000000000E-06,KALYKE
524,13.00000000000000000000E-06,IOCASTE
525,3.00000000000000000000E-06,ERINOME
526,5.00000000000000000000E-06,ISONOE
527,29.00000000000000000000E-06,PRAXIDIKE
528,6.00000000000000000000E-06,AUTONOE
529,6.00000000000000000000E-06,THYONE
530,6.00000000000000000000E-06,HERMIPPE
531,3.00000000000000000000E-06,AITNE
532,3.00000000000000000000E-06,EURYDOME
533,3.00000000000000000000E-06,EUANTHE
534,1.00000000000000000000E-06,EUPORIE
535,1.00000000000000000000E-06,ORTHOSIE
536,1.00000000000000000000E-06,SPONDE
537,1.00000000000000000000E-06,KALE
538,1.00000000000000000000E-06,PASITHEE
539,3.00000000000000000000E-06,HEGEMONE
540,1.00000000000000000000E-06,MNEME
541,6.00000000000000000000E-06,AOEDE
542,1.00000000000000000000E-06,THELXINOE
543,3.00000000000000000000E-06,ARCHE
544,1.00000000000000000000E-06,KALLICHORE
545,6.00000000000000000000E-06,HELIKE
546,3.00000000000000000000E-06,CARPO
547,6.00000000000000000000E-06,EUKELADE
548,1.00000000000000000000E-06,CYLLENE
549,1.00000000000000000000E-06,KORE
550,1.00000000000000000000E-06,HERSE
612,760.00000000000000000000E-06,HELENE
613,270.00000000000000000000E-06,TELESTO
614,170.00000000000000000000E-06,CALYPSO
618,330.00000000000000000000E-06,PAN
619,330.00000000000000000000E-06,YMIR
620,550.00000000000000000000E-06,PAALIAQ
621,180.00000000000000000000E-06,TARVOS
622,80.00000000000000000000E-06,IJIRAQ
623,14.00000000000000000000E-06,SUTTUNGR
624,220.00000000000000000000E-06,KIVIUQ
625,14.00000000000000000000E-06,MUNDILFARI
626,1.40000000000000000000E-03,ALBIORIX
627,21.00000000000000000000E-06,SKATHI
628,51.00000000000000000000E-06,ERRIAPUS
629,2.60000000000000000000E-03,SIARNAQ
630,14.00000000000000000000E-06,THRYMR
631,23.00000000000000000000E-06,NARVI
632,600.00000000000000000000E-09,METHONE
633,2.20000000000000000000E-06,PALLENE
634,300.00000000000000000000E-09,POLYDEUCES
635,0.00000000000000000000E+00,DAPHNIS
636,0.00000000000000000000E+00,AEGIR
637,0.00000000000000000000E+00,BEBHIONN
638,0.00000000000000000000E+00,BERGELMIR
639,0.00000000000000000000E+00,BESTLA
640,0.00000000000000000000E+00,FARBAUTI
641,0.00000000000000000000E+00,FENRIR
642,0.00000000000000000000E+00,FORNJOT
643,0.00000000000000000000E+00,HATI
644,0.00000000000000000000E+00,HYRROKKIN
645,0.00000000000000000000E+00,KARI
646,0.00000000000000000000E+00,LOGE
647,0.00000000000000000000E+00,SKOLL
706,3.00000000000000000000E-03,CORDELIA
707,3.60000000000000000000E-03,OPHELIA
708,6.20000000000000000000E-03,BIANCA
709,22.90000000000000000000E-03,CRESSIDA
710,11.90000000000000000000E-03,DESDEMONA
711,37.20000000000000000000E-03,JULIET
712,112.20000000000000000000E-03,PORTIA
713,17.00000000000000000000E-03,ROSALIND
714,23.80000000000000000000E-03,BELINDA
715,193.10000000000000000000E-03,PUCK
716,20.00000000000000000000E-03,CALIBAN
717,180.00000000000000000000E-03,SYCORAX
718,6.60000000000000000000E-03,PROSPERO
719,5.80000000000000000000E-03,SETEBOS
720,1.70000000000000000000E-03,STEPHANO
721,310.00000000000000000000E-06,TRINCULO
722,560.00000000000000000000E-06,FRANCISCO
723,420.00000000000000000000E-06,MARGARET
724,420.00000000000000000000E-06,FERDINAND
725,1.20000000000000000000E-03,PERDITA
726,600.00000000000000000000E-06,MAB
727,200.00000000000000000000E-06,CUPID
802,2.06000000000000000000E+00,NEREID
803,13.00000000000000000000E-03,NAIAD
804,25.00000000000000000000E-03,THALASSA
805,140.00000000000000000000E-03,DESPINA
806,250.00000000000000000000E-03,GALATEA
807,330.00000000000000000000E-03,LARISSA
808,3.36000000000000000000E+00,PROTEUS
809,12.00000000000000000000E-03,HALIMEDE
810,3.30000000000000000000E-03,PSAMATHE
811,4.50000000000000000000E-03,SAO
812,3.90000000000000000000E-03,LAOMEDEIA
813,11.00000000000000000000E-03,NESO
905,0.00000000000000000000E+00,STYX
